Name;Platform;Year_of_Release;Genre;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;Prom_Score;Sales;
Policenauts;3DO;1995;Adventure;0;0;0,06;0;0,06;0,0;0,0;0,0;0,0;0;60,0;
Bust-A-Move;3DO;1994;Puzzle;0;0;0,02;0;0,02;0,0;0,0;0,0;0,0;0;20,0;
Sotsugyou II: Neo Generation Special;3DO;1995;Simulation;0;0;0,02;0;0,02;0,0;0,0;0,0;0,0;0;20,0;
Pokemon X/Pokemon Y;3DS;2013;Role-Playing;5,28;4,19;4,35;0,78;14,6;0,0;0,0;0,0;0,0;0;5,635107492;
Mario Kart 7;3DS;2011;Racing;5,03;4,02;2,69;0,91;12,66;85,0;73,0;8,2;632,0;83,5;4,886332935;
Pokemon Omega Ruby/Pokemon Alpha Sapphire;3DS;2014;Role-Playing;4,35;3,49;3,1;0,74;11,68;0,0;0,0;0,0;0,0;0;4,508085993;
Super Mario 3D Land;3DS;2011;Platform;4,89;3;2,14;0,78;10,81;90,0;82,0;8,4;920,0;87;4,172295341;
New Super Mario Bros. 2;3DS;2012;Platform;3,66;3,14;2,47;0,63;9,9;78,0;70,0;7,2;424,0;75;3,821066039;
Animal Crossing: New Leaf;3DS;2012;Simulation;2,03;2,36;4,39;0,39;9,16;88,0;70,0;8,7;626,0;87,5;3,535451002;
Super Smash Bros. for Wii U and 3DS;3DS;2014;Fighting;3,27;1,37;2,43;0,48;7,55;0,0;0,0;0,0;0,0;0;2,914045312;
Pokemon Sun/Moon;3DS;2016;Role-Playing;2,98;1,45;2,26;0,45;7,14;0,0;0,0;0,0;0,0;0;2,755799143;
Tomodachi Life;3DS;2013;Simulation;0,97;2,11;1,9;0,24;5,23;0,0;0,0;0,0;0,0;0;2,018603574;
Luigi's Mansion: Dark Moon;3DS;2013;Action;1,8;1,39;1,11;0,29;4,59;86,0;74,0;8,4;458,0;85;1,771585163;
The Legend of Zelda: Ocarina of Time;3DS;2011;Action;2,09;1,31;0,62;0,31;4,33;0,0;0,0;0,0;0,0;0;1,671233934;
Monster Hunter 4 Ultimate;3DS;2014;Role-Playing;0,68;0,48;2,62;0,11;3,89;86,0;80,0;8,7;348,0;86,5;1,501408777;
Nintendogs + cats;3DS;2011;Simulation;1,44;1,41;0,73;0,27;3,85;0,0;0,0;0,0;0,0;0;1,485970126;
Monster Hunter 4;3DS;2013;Role-Playing;0;0;3,44;0;3,44;0,0;0,0;0,0;0,0;0;1,327723957;
Monster Hunter X;3DS;2015;Action;0,27;0,21;2,79;0,05;3,32;0,0;0,0;0,0;0,0;0;1,281408005;
Yokai Watch 2 Ganso/Honke;3DS;2014;Role-Playing;0,09;0;3,18;0,01;3,28;0,0;0,0;0,0;0,0;0;1,265969354;
The Legend of Zelda: A Link Between Worlds;3DS;2013;Action;1,4;1,01;0,46;0,23;3,1;90,0;80,0;8,9;57,0;89,5;1,196495426;
Animal Crossing: Happy Home Designer;3DS;2015;Simulation;0,51;1,02;1,4;0,12;3,05;66,0;60,0;6,9;6,0;67,5;1,177197113;
Monster Hunter Tri;3DS;2011;Role-Playing;0,46;0,29;1,96;0,07;2,79;0,0;0,0;0,0;0,0;0;1,076845884;
Yokai Watch 2 Shinuchi;3DS;2014;Role-Playing;0;0;2,68;0;2,68;0,0;0,0;0,0;0,0;0;1,034389594;
The Legend of Zelda: Majora's Mask 3D;3DS;2015;Action;1,15;0,55;0,47;0,17;2,34;89,0;82,0;9,0;478,0;89,5;0,903161064;
Paper Mario: Sticker Star;3DS;2012;Role-Playing;1,12;0,41;0,64;0,14;2,3;75,0;69,0;5,6;382,0;65,5;0,887722413;
Yokai Watch Busters;3DS;2015;Action;0;0;2,29;0;2,29;0,0;0,0;0,0;0,0;0;0,88386275;
Yokai Watch;3DS;2013;Role-Playing;0,25;0,45;1,33;0,05;2,09;0,0;0,0;0,0;0,0;0;0,806669497;
Mario & Luigi: Dream Team;3DS;2013;Role-Playing;0,89;0,58;0,46;0,14;2,08;0,0;0,0;0,0;0,0;0;0,802809834;
